I ,put,,,garabage,,,,
in ,thes ,cells,,,,,,
DD,FirstAngle,SecondAngle,Height,Distance,AvgScore,,,
1.8,20,0,14.7,9.31,4.5,,,
1.4,30,21,14.96,9,4.67,,,
1.5,10,0,16.6,11.6,4.5,,,
1.6,20,0,13.88,6.94,4.5,,,
1.8,15,1,13.16,8.95,3.33,,,
1.6,11,4,14.21,7.55,5,,,
1.5,0,9,15.24,5.28,5,,,
1.8,0,13,16.95,8.33,4,,,
1.6,24,24,15.81,11,5,,,
1.7,0,0,14.43,11.04,3.83,,,
1.3,17,16,14.51,12.3,3.67,,,
1.5,2,33,13.71,6.46,5,,,
1.7,16,0,11.73,10.83,4.83,,,
1.7,23,13,11.11,11.73,4.5,,,
1.8,0,1,12.44,7.4,5,,,
1.6,3,2,11.8,9.09,3.83,,,
1.7,28,52,11.39,4.31,2.17,,,
1.6,24,41,11.6,9.75,4.67,,,
2.2,59,47,12.27,14.93,3.67,,,
